geocode,Municipio,value
2514404,São José de Espinharas,"0,00"
2514503,São José de Piranhas,"0,28"
2514552,São José de Princesa,"0,25"
2514602,São José do Bonfim,"0,37"
2514651,São José do Brejo do Cruz,"0,00"
2514701,São José do Sabugi,"0,00"
2514800,São José dos Cordeiros,"0,58"
2514453,São José dos Ramos,"0,24"
2514909,São Mamede,"0,19"
2515005,São Miguel de Taipu,"0,28"
2515104,São Sebastião de Lagoa de Roça,"0,12"
2515203,São Sebastião do Umbuzeiro,"0,60"
2515401,São Vicente do Seridó,"0,34"
2515302,Sapé,"0,45"
2515500,Serra Branca,"0,18"
2515609,Serra da Raiz,"0,00"
2515708,Serra Grande,"0,45"
2515807,Serra Redonda,"0,50"
2515906,Serraria,"0,37"
2515930,Sertãozinho,"0,39"
2515971,Sobrado,"0,34"
2516003,Solânea,"0,26"
2516102,Soledade,"0,26"
2516151,Sossêgo,"0,18"
2516201,Sousa,"0,22"
2516300,Sumé,"0,28"
2516409,Tacima,"0,10"
2516508,Taperoá,"0,57"
2516607,Tavares,"0,37"
2516706,Teixeira,"0,33"
2516755,Tenório,"0,21"
2516805,Triunfo,"0,17"
2516904,Uiraúna,"0,36"
2517001,Umbuzeiro,"0,39"
2517100,Várzea,"0,30"
2517209,Vieirópolis,"0,36"
2505501,Vista Serrana,"0,00"
2517407,Zabelê,"0,00"
