geocode,Municipio,value
2500106,Água Branca,"1,00"
2500205,Aguiar,"0,85"
2500304,Alagoa Grande,"0,78"
2500403,Alagoa Nova,"0,89"
2500502,Alagoinha,"0,76"
2500536,Alcantil,"0,73"
2500577,Algodão de Jandaíra,"0,52"
2500601,Alhandra,"0,91"
2500734,Amparo,"0,62"
2500775,Aparecida,"0,89"
2500809,Araçagi,"0,90"
2500908,Arara,"0,83"
2501005,Araruna,"0,83"
2501104,Areia,"0,75"
2501153,Areia de Baraúnas,"1,00"
2501203,Areial,"1,00"
2501302,Aroeiras,"0,78"
2501351,Assunção,"1,00"
2501401,Baía da Traição,"1,00"
2501500,Bananeiras,"0,82"
2501534,Baraúna,"0,11"
2501609,Barra de Santa Rosa,"0,83"
2501575,Barra de Santana,"0,79"
2501708,Barra de São Miguel,"1,00"
2501807,Bayeux,"0,71"
2501906,Belém,"0,62"
2502003,Belém do Brejo do Cruz,"0,67"
2502052,Bernardino Batista,"1,00"
2502102,Boa Ventura,"1,00"
2502151,Boa Vista,"1,00"
2502201,Bom Jesus,"0,20"
2502300,Bom Sucesso,"0,86"
2502409,Bonito de Santa Fé,"0,54"
2502508,Boqueirão,"0,89"
2502706,Borborema,"0,69"
2502805,Brejo do Cruz,"0,81"
2502904,Brejo dos Santos,"0,00"
2503001,Caaporã,"0,75"
2503100,Cabaceiras,"0,47"
2503209,Cabedelo,"0,80"
2503308,Cachoeira dos Índios,"0,59"
2503407,Cacimba de Areia,"0,24"
2503506,Cacimba de Dentro,"0,65"
2503555,Cacimbas,"0,90"
2503605,Caiçara,"1,00"
2503704,Cajazeiras,"0,88"
2503753,Cajazeirinhas,"1,00"
2503803,Caldas Brandão,"0,77"
2503902,Camalaú,"0,83"
2504009,Campina Grande,"0,89"
2504033,Capim,"0,89"
2504074,Caraúbas,"1,00"
2504108,Carrapateira,"1,00"
2504157,Casserengue,"0,92"
2504207,Catingueira,"1,00"
2504306,Catolé do Rocha,"0,43"
2504355,Caturité,"0,87"
2504405,Conceição,"0,88"
2504504,Condado,"0,63"
2504603,Conde,"0,82"
2504702,Congo,"1,00"
2504801,Coremas,"0,61"
2504850,Coxixola,"1,00"
2504900,Cruz do Espírito Santo,"0,57"
2505006,Cubati,"0,85"
2505105,Cuité,"0,83"
2505238,Cuité de Mamanguape,"0,52"
2505204,Cuitegi,"0,91"
2505279,Curral de Cima,"0,87"
2505303,Curral Velho,"1,00"
2505352,Damião,"0,67"
2505402,Desterro,"0,76"
2505600,Diamante,"0,47"
2505709,Dona Inês,"0,92"
2505808,Duas Estradas,"0,33"
2505907,Emas,"1,00"
2506004,Esperança,"0,78"
2506103,Fagundes,"0,92"
2506202,Frei Martinho,"0,41"
2506251,Gado Bravo,"0,76"
2506301,Guarabira,"0,87"
2506400,Gurinhém,"0,89"
2506509,Gurjão,"0,62"
2506608,Ibiara,"0,87"
2502607,Igaracy,"1,00"
2506707,Imaculada,"0,59"
2506806,Ingá,"0,83"
2506905,Itabaiana,"0,78"
2507002,Itaporanga,"0,66"
2507101,Itapororoca,"0,62"
2507200,Itatuba,"0,69"
2507309,Jacaraú,"0,62"
2507408,Jericó,"0,80"
2507507,João Pessoa,"0,83"
2513653,Joca Claudino,"0,47"
2507606,Juarez Távora,"1,00"
2507705,Juazeirinho,"0,66"
2507804,Junco do Seridó,"1,00"
2507903,Juripiranga,"0,73"
2508000,Juru,"0,90"
2508109,Lagoa,"0,77"
2508208,Lagoa de Dentro,"0,52"
2508307,Lagoa Seca,"0,81"
2508406,Lastro,"0,41"
2508505,Livramento,"0,80"
2508554,Logradouro,"1,00"
2508604,Lucena,"0,52"
2508703,Mãe d'Água,"0,76"
2508802,Malta,"0,90"
2508901,Mamanguape,"0,90"
2509008,Manaíra,"0,58"
2509057,Marcação,"0,62"
2509107,Mari,"0,87"
2509156,Marizópolis,"0,62"
2509206,Massaranduba,"0,82"
2509305,Mataraca,"1,00"
2509339,Matinhas,"1,00"
2509370,Mato Grosso,"1,00"
2509396,Maturéia,"0,70"
2509404,Mogeiro,"0,78"
2509503,Montadas,"0,88"
2509602,Monte Horebe,"0,82"
2509701,Monteiro,"0,77"
2509800,Mulungu,"0,87"
2509909,Natuba,"0,56"
2510006,Nazarezinho,"1,00"
2510105,Nova Floresta,"0,42"
2510204,Nova Olinda,"0,82"
2510303,Nova Palmeira,"1,00"
2510402,Olho d'Água,"0,40"
2510501,Olivedos,"0,41"
2510600,Ouro Velho,"1,00"
2510659,Parari,"1,00"
2510709,Passagem,"0,24"
2510808,Patos,"0,81"
2510907,Paulista,"0,64"
2511004,Pedra Branca,"0,76"
2511103,Pedra Lavrada,"0,78"
2511202,Pedras de Fogo,"0,69"
2512721,Pedro Régis,"1,00"
2511301,Piancó,"0,66"
2511400,Picuí,"0,71"
2511509,Pilar,"0,77"
2511608,Pilões,"0,91"
2511707,Pilõezinhos,"0,86"
2511806,Pirpirituba,"0,68"
2511905,Pitimbu,"0,60"
2512002,Pocinhos,"0,65"
2512036,Poço Dantas,"0,56"
2512077,Poço de José de Moura,"1,00"
2512101,Pombal,"0,93"
2512200,Prata,"1,00"
2512309,Princesa Isabel,"0,71"
2512408,Puxinanã,"0,64"
2512507,Queimadas,"0,83"
2512606,Quixabá,"1,00"
2512705,Remígio,"0,75"
2512747,Riachão,"1,00"
2512754,Riachão do Bacamarte,"0,79"
2512762,Riachão do Poço,"0,11"
2512788,Riacho de Santo Antônio,"1,00"
2512804,Riacho dos Cavalos,"0,90"
2512903,Rio Tinto,"0,82"
2513000,Salgadinho,"0,27"
2513109,Salgado de São Félix,"0,65"
2513158,Santa Cecília,"0,87"
2513208,Santa Cruz,"0,87"
2513307,Santa Helena,"0,90"
2513356,Santa Inês,"0,33"
2513406,Santa Luzia,"0,90"
2513703,Santa Rita,"0,76"
2513802,Santa Teresinha,"0,85"
2513505,Santana de Mangueira,"0,75"
2513604,Santana dos Garrotes,"0,82"
2513851,Santo André,"1,00"
2513927,São Bentinho,"1,00"
2513901,São Bento,"0,81"
2513968,São Domingos,"1,00"
2513943,São Domingos do Cariri,"1,00"
2513984,São Francisco,"0,77"
2514008,São João do Cariri,"0,87"
2500700,São João do Rio do Peixe,"0,95"
2514107,São João do Tigre,"0,64"
2514206,São José da Lagoa Tapada,"1,00"
2514305,São José de Caiana,"0,67"
2514404,São José de Espinharas,"0,86"
2514503,São José de Piranhas,"0,72"
2514552,São José de Princesa,"0,33"
2514602,São José do Bonfim,"0,67"
2514651,São José do Brejo do Cruz,"1,00"
2514701,São José do Sabugi,"1,00"
2514800,São José dos Cordeiros,"0,70"
2514453,São José dos Ramos,"1,00"
2514909,São Mamede,"0,65"
2515005,São Miguel de Taipu,"0,71"
2515104,São Sebastião de Lagoa de Roça,"1,00"
2515203,São Sebastião do Umbuzeiro,"0,56"
2515401,São Vicente do Seridó,"0,68"
2515302,Sapé,"0,84"
2515500,Serra Branca,"0,94"
2515609,Serra da Raiz,"1,00"
2515708,Serra Grande,"0,47"
2515807,Serra Redonda,"0,83"
2515906,Serraria,"0,87"
2515930,Sertãozinho,"0,77"
2515971,Sobrado,"0,59"
2516003,Solânea,"0,84"
2516102,Soledade,"0,83"
2516151,Sossêgo,"0,47"
2516201,Sousa,"0,87"
2516300,Sumé,"0,83"
2516409,Tacima,"0,83"
2516508,Taperoá,"0,82"
2516607,Tavares,"0,77"
2516706,Teixeira,"0,68"
2516755,Tenório,"0,41"
2516805,Triunfo,"0,91"
2516904,Uiraúna,"0,86"
2517001,Umbuzeiro,"0,88"
2517100,Várzea,"1,00"
2517209,Vieirópolis,"0,68"
2505501,Vista Serrana,"0,67"
2517407,Zabelê,"0,78"
