"geocode","Municipio","value"
2504900,"Cruz do Espírito Santo","0.26"
2505006,"Cubati","0.60"
2505105,"Cuité","0.67"
2505238,"Cuité de Mamanguape","0.40"
2505204,"Cuitegi","0.68"
2505279,"Curral de Cima","0.31"
2505303,"Curral Velho","0.64"
2505352,"Damião","0.47"
2505402,"Desterro","0.46"
2505600,"Diamante","0.53"
2505709,"Dona Inês","0.57"
2505808,"Duas Estradas","0.83"
2505907,"Emas","0.54"
2506004,"Esperança","0.55"
2506103,"Fagundes","0.49"
2506202,"Frei Martinho","0.92"
2506251,"Gado Bravo","0.17"
2506301,"Guarabira","0.59"
2506400,"Gurinhém","0.44"
2506509,"Gurjão","0.61"
2506608,"Ibiara","0.76"
2502607,"Igaracy","0.56"
2506707,"Imaculada","0.32"
2506806,"Ingá","0.52"
2506905,"Itabaiana","0.61"
2507002,"Itaporanga","0.50"
2507101,"Itapororoca","0.65"
2507200,"Itatuba","0.49"
2507309,"Jacaraú","0.60"
2507408,"Jericó","0.55"
2507507,"João Pessoa","1.00"
2513653,"Joca Claudino","0.29"
2507606,"Juarez Távora","0.72"
2507705,"Juazeirinho","0.39"
2507804,"Junco do Seridó","0.57"
2507903,"Juripiranga","0.83"
2508000,"Juru","0.33"
2508109,"Lagoa","0.52"
2508208,"Lagoa de Dentro","0.60"
2508307,"Lagoa Seca","0.46"
2508406,"Lastro","0.49"
2508505,"Livramento","0.47"
2508554,"Logradouro","0.52"
2508604,"Lucena","0.41"
2508703,"Mãe d'Água","0.24"
2508802,"Malta","0.79"
2508901,"Mamanguape","0.58"
2509008,"Manaíra","0.63"
2509057,"Marcação","0.07"
2509107,"Mari","0.71"
2509156,"Marizópolis","0.64"
2509206,"Massaranduba","0.44"
2509305,"Mataraca","0.49"
2509339,"Matinhas","0.27"
2509370,"Mato Grosso","0.30"
2509396,"Maturéia","0.41"
2509404,"Mogeiro","0.42"
2509503,"Montadas","0.77"
2509602,"Monte Horebe","0.40"
2509701,"Monteiro","0.56"
2509800,"Mulungu","0.50"
2509909,"Natuba","0.37"
2510006,"Nazarezinho","0.39"
2510105,"Nova Floresta","0.78"
2510204,"Nova Olinda","0.38"
2510303,"Nova Palmeira","0.46"
2510402,"Olho d'Água","0.59"
2510501,"Olivedos","0.63"
2510600,"Ouro Velho","0.67"
2510659,"Parari","0.62"
2510709,"Passagem","0.24"
2510808,"Patos","0.66"
2510907,"Paulista","0.47"
2511004,"Pedra Branca","0.53"
2511103,"Pedra Lavrada","0.50"
2511202,"Pedras de Fogo","0.45"
2512721,"Pedro Régis","0.35"
2511301,"Piancó","0.60"
2511400,"Picuí","0.58"
2511509,"Pilar","0.65"
2511608,"Pilões","0.35"
2511707,"Pilõezinhos","0.46"
2511806,"Pirpirituba","0.78"
2511905,"Pitimbu","0.27"
2512002,"Pocinhos","0.65"
2512036,"Poço Dantas","0.09"
2512077,"Poço de José de Moura","0.38"
2512101,"Pombal","0.80"
2512200,"Prata","0.66"
2512309,"Princesa Isabel","0.48"
2512408,"Puxinanã","0.25"
2512507,"Queimadas","0.79"
2512606,"Quixabá","0.13"
2512705,"Remígio","0.67"
2512747,"Riachão","0.48"
2512754,"Riachão do Bacamarte","0.68"
2512762,"Riachão do Poço","0.43"
2512788,"Riacho de Santo Antônio","0.63"
2512804,"Riacho dos Cavalos","0.32"
2512903,"Rio Tinto","0.62"
2513000,"Salgadinho","0.23"
2513109,"Salgado de São Félix","0.81"
2513158,"Santa Cecília","0.42"
2513208,"Santa Cruz","0.68"
2513307,"Santa Helena","0.90"
2513356,"Santa Inês","0.12"
2513406,"Santa Luzia","0.71"
2513703,"Santa Rita","0.54"
2513802,"Santa Teresinha","0.67"
2513505,"Santana de Mangueira","0.18"
2513604,"Santana dos Garrotes","0.44"
2513851,"Santo André","0.65"
2513927,"São Bentinho","0.63"
2513901,"São Bento","0.45"
2513968,"São Domingos","0.56"
2513943,"São Domingos do Cariri","0.65"
2513984,"São Francisco","0.64"
2514008,"São João do Cariri","0.58"
2500700,"São João do Rio do Peixe","0.47"
2514107,"São João do Tigre","0.58"
2514206,"São José da Lagoa Tapada","0.42"
2514305,"São José de Caiana","0.37"
2514404,"São José de Espinharas","0.78"
2514503,"São José de Piranhas","0.57"
2514552,"São José de Princesa","0.36"
2514602,"São José do Bonfim","0.42"
2514651,"São José do Brejo do Cruz","0.50"
2514701,"São José do Sabugi","0.74"
2514800,"São José dos Cordeiros","0.59"
2514453,"São José dos Ramos","0.43"
2514909,"São Mamede","0.87"
2515005,"São Miguel de Taipu","0.34"
2515104,"São Sebastião de Lagoa de Roça","0.44"
2515203,"São Sebastião do Umbuzeiro","0.70"
2515401,"São Vicente do Seridó","0.27"
2515302,"Sapé","0.82"
2515500,"Serra Branca","0.73"
2515609,"Serra da Raiz","0.71"
2515708,"Serra Grande","0.60"
2515807,"Serra Redonda","0.44"
2515906,"Serraria","0.61"
2515930,"Sertãozinho","0.77"
2515971,"Sobrado","0.19"
2516003,"Solânea","0.55"
2516102,"Soledade","0.59"
2516151,"Sossêgo","0.42"
2516201,"Sousa","0.52"
2516300,"Sumé","0.77"
2516409,"Tacima","0.54"
2516508,"Taperoá","0.56"
2516607,"Tavares","0.43"
2516706,"Teixeira","0.42"
2516755,"Tenório","0.70"
2516805,"Triunfo","0.51"
2516904,"Uiraúna","0.60"
2517001,"Umbuzeiro","0.38"
2517100,"Várzea","0.96"
2517209,"Vieirópolis","0.57"
2505501,"Vista Serrana","0.61"
2517407,"Zabelê","0.76"
