"geocode","Municipio","value"
2505105,"Cuité","0.68"
2505238,"Cuité de Mamanguape","0.50"
2505204,"Cuitegi","0.51"
2505279,"Curral de Cima","0.53"
2505303,"Curral Velho","0.26"
2505352,"Damião","0.43"
2505402,"Desterro","0.50"
2505600,"Diamante","0.38"
2505709,"Dona Inês","0.62"
2505808,"Duas Estradas","0.79"
2505907,"Emas","0.31"
2506004,"Esperança","0.51"
2506103,"Fagundes","0.62"
2506202,"Frei Martinho","1.00"
2506251,"Gado Bravo","0.51"
2506301,"Guarabira","0.40"
2506400,"Gurinhém","0.49"
2506509,"Gurjão","0.62"
2506608,"Ibiara","0.71"
2502607,"Igaracy","0.54"
2506707,"Imaculada","0.22"
2506806,"Ingá","0.58"
2506905,"Itabaiana","0.56"
2507002,"Itaporanga","0.33"
2507101,"Itapororoca","0.48"
2507200,"Itatuba","0.46"
2507309,"Jacaraú","0.61"
2507408,"Jericó","0.59"
2507507,"João Pessoa","0.25"
2513653,"Joca Claudino","0.53"
2507606,"Juarez Távora","0.52"
2507705,"Juazeirinho","0.30"
2507804,"Junco do Seridó","0.37"
2507903,"Juripiranga","0.52"
2508000,"Juru","0.41"
2508109,"Lagoa","0.65"
2508208,"Lagoa de Dentro","0.72"
2508307,"Lagoa Seca","0.40"
2508406,"Lastro","0.58"
2508505,"Livramento","0.55"
2508554,"Logradouro","0.58"
2508604,"Lucena","0.12"
2508703,"Mãe d'Água","0.50"
2508802,"Malta","0.67"
2508901,"Mamanguape","0.23"
2509008,"Manaíra","0.38"
2509057,"Marcação","0.12"
2509107,"Mari","0.63"
2509156,"Marizópolis","0.48"
2509206,"Massaranduba","0.59"
2509305,"Mataraca","0.07"
2509339,"Matinhas","0.46"
2509370,"Mato Grosso","0.43"
2509396,"Maturéia","0.39"
2509404,"Mogeiro","0.46"
2509503,"Montadas","0.62"
2509602,"Monte Horebe","0.49"
2509701,"Monteiro","0.60"
2509800,"Mulungu","0.57"
2509909,"Natuba","0.46"
2510006,"Nazarezinho","0.60"
2510105,"Nova Floresta","0.66"
2510204,"Nova Olinda","0.31"
2510303,"Nova Palmeira","0.61"
2510402,"Olho d'Água","0.36"
2510501,"Olivedos","0.62"
2510600,"Ouro Velho","0.62"
2510659,"Parari","0.68"
2510709,"Passagem","0.50"
2510808,"Patos","0.32"
2510907,"Paulista","0.47"
2511004,"Pedra Branca","0.36"
2511103,"Pedra Lavrada","0.61"
2511202,"Pedras de Fogo","0.27"
2512721,"Pedro Régis","0.67"
2511301,"Piancó","0.53"
2511400,"Picuí","0.56"
2511509,"Pilar","0.40"
2511608,"Pilões","0.34"
2511707,"Pilõezinhos","0.44"
2511806,"Pirpirituba","0.52"
2511905,"Pitimbu","0.01"
2512002,"Pocinhos","0.51"
2512036,"Poço Dantas","0.31"
2512077,"Poço de José de Moura","0.79"
2512101,"Pombal","0.63"
2512200,"Prata","0.70"
2512309,"Princesa Isabel","0.39"
2512408,"Puxinanã","0.45"
2512507,"Queimadas","0.41"
2512606,"Quixabá","0.37"
2512705,"Remígio","0.65"
2512747,"Riachão","0.47"
2512754,"Riachão do Bacamarte","0.58"
2512762,"Riachão do Poço","0.46"
2512788,"Riacho de Santo Antônio","0.28"
2512804,"Riacho dos Cavalos","0.35"
2512903,"Rio Tinto","0.45"
2513000,"Salgadinho","0.42"
2513109,"Salgado de São Félix","0.81"
2513158,"Santa Cecília","0.47"
2513208,"Santa Cruz","0.98"
2513307,"Santa Helena","0.83"
2513356,"Santa Inês","0.25"
2513406,"Santa Luzia","0.64"
2513703,"Santa Rita","0.19"
2513802,"Santa Teresinha","0.57"
