geocode,Municipio,value
2500106,Água Branca,"0,42"
2500205,Aguiar,"0,37"
2500304,Alagoa Grande,"0,50"
2500403,Alagoa Nova,"0,65"
2500502,Alagoinha,"0,47"
2500536,Alcantil,"0,44"
2500577,Algodão de Jandaíra,"0,24"
2500601,Alhandra,"0,31"
2500734,Amparo,"0,07"
2500775,Aparecida,"0,44"
2500809,Araçagi,"0,44"
2500908,Arara,"0,67"
2501005,Araruna,"0,70"
2501104,Areia,"0,51"
2501153,Areia de Baraúnas,"0,23"
2501203,Areial,"0,36"
2501302,Aroeiras,"0,36"
2501351,Assunção,"0,23"
2501401,Baía da Traição,"0,48"
2501500,Bananeiras,"0,41"
2501534,Baraúna,"0,35"
2501609,Barra de Santa Rosa,"0,62"
2501575,Barra de Santana,"0,55"
2501708,Barra de São Miguel,"0,22"
2501807,Bayeux,"0,74"
2501906,Belém,"0,52"
2502003,Belém do Brejo do Cruz,"0,39"
2502052,Bernardino Batista,"0,44"
2502102,Boa Ventura,"0,27"
2502151,Boa Vista,"0,52"
2502201,Bom Jesus,"0,29"
2502300,Bom Sucesso,"0,46"
2502409,Bonito de Santa Fé,"0,73"
2502508,Boqueirão,"0,39"
2502706,Borborema,"0,47"
2502805,Brejo do Cruz,"0,41"
2502904,Brejo dos Santos,"0,45"
2503001,Caaporã,"0,57"
2503100,Cabaceiras,"0,62"
2503209,Cabedelo,"0,97"
2503308,Cachoeira dos Índios,"0,56"
2503407,Cacimba de Areia,"0,32"
2503506,Cacimba de Dentro,"0,47"
2503555,Cacimbas,"0,42"
2503605,Caiçara,"0,47"
2503704,Cajazeiras,"0,61"
2503753,Cajazeirinhas,"0,16"
2503803,Caldas Brandão,"0,37"
2503902,Camalaú,"0,21"
2504009,Campina Grande,"0,74"
2504033,Capim,"0,48"
2504074,Caraúbas,"0,34"
2504108,Carrapateira,"0,44"
2504157,Casserengue,"0,45"
2504207,Catingueira,"0,55"
2504306,Catolé do Rocha,"0,73"
2504355,Caturité,"0,17"
2504405,Conceição,"0,54"
2504504,Condado,"0,35"
2504603,Conde,"0,21"
2504702,Congo,"0,03"
2504801,Coremas,"0,44"
2504850,Coxixola,"0,18"
2504900,Cruz do Espírito Santo,"0,45"
2505006,Cubati,"0,36"
2505105,Cuité,"0,43"
2505238,Cuité de Mamanguape,"0,15"
2505204,Cuitegi,"0,38"
2505279,Curral de Cima,"0,13"
2505303,Curral Velho,"0,54"
2505352,Damião,"0,36"
2505402,Desterro,"0,23"
2505600,Diamante,"0,39"
2505709,Dona Inês,"0,34"
2505808,Duas Estradas,"0,24"
2505907,Emas,"0,57"
2506004,Esperança,"0,54"
2506103,Fagundes,"0,41"
2506202,Frei Martinho,"0,38"
2506251,Gado Bravo,"0,14"
2506301,Guarabira,"0,74"
2506400,Gurinhém,"0,54"
2506509,Gurjão,"0,51"
2506608,Ibiara,"0,49"
2502607,Igaracy,"0,37"
2506707,Imaculada,"0,67"
2506806,Ingá,"0,47"
2506905,Itabaiana,"0,47"
2507002,Itaporanga,"0,75"
2507101,Itapororoca,"0,47"
2507200,Itatuba,"0,55"
2507309,Jacaraú,"0,27"
2507408,Jericó,"0,57"
2507507,João Pessoa,"1,00"
2513653,Joca Claudino,"0,44"
2507606,Juarez Távora,"0,26"
2507705,Juazeirinho,"0,57"
2507804,Junco do Seridó,"0,46"
2507903,Juripiranga,"0,52"
2508000,Juru,"0,50"
2508109,Lagoa,"0,47"
2508208,Lagoa de Dentro,"0,40"
2508307,Lagoa Seca,"0,55"
2508406,Lastro,"0,00"
2508505,Livramento,"0,42"
2508554,Logradouro,"0,57"
2508604,Lucena,"0,38"
2508703,Mãe d'Água,"0,53"
2508802,Malta,"0,22"
2508901,Mamanguape,"0,63"
2509008,Manaíra,"0,49"
2509057,Marcação,"0,74"
2509107,Mari,"0,54"
2509156,Marizópolis,"0,49"
2509206,Massaranduba,"0,53"
2509305,Mataraca,"0,50"
2509339,Matinhas,"0,39"
2509370,Mato Grosso,"0,57"
2509396,Maturéia,"0,33"
2509404,Mogeiro,"0,33"
2509503,Montadas,"0,42"
2509602,Monte Horebe,"0,49"
2509701,Monteiro,"0,43"
2509800,Mulungu,"0,53"
2509909,Natuba,"0,70"
2510006,Nazarezinho,"0,27"
