geocode,Municipio,value
3502507,Aparecida,"0,29"
3503158,Arapeí,"0,14"
3503505,Areias,"0,29"
3504909,Bananal,"0,07"
3508504,Caçapava,"0,43"
3508603,Cachoeira Paulista,"0,21"
3509700,Campos do Jordão,"0,21"
3509957,Canas,"0,14"
3510500,Caraguatatuba,"0,21"
3513405,Cruzeiro,"0,64"
3513603,Cunha,"0,07"
3518404,Guaratinguetá,"0,64"
3520202,Igaratá,"0,07"
3520400,Ilhabela,"0,07"
3524402,Jacareí,"0,29"
3524907,Jambeiro,"0,14"
3526308,Lagoinha,"0,14"
3526605,Lavrinhas,"0,07"
3527207,Lorena,"0,29"
3531704,Monteiro Lobato,"0,14"
3532306,Natividade da Serra,"0,29"
3535606,Paraibuna,"0,07"
3538006,Pindamonhangaba,"0,50"
3538501,Piquete,"0,14"
3540754,Potim,"0,21"
3541901,Queluz,"0,07"
3542305,Redenção da Serra,"0,07"
3544301,Roseira,"0,00"
3546009,Santa Branca,"0,07"
3548203,Santo Antônio do Pinhal,"0,36"
3548609,São Bento do Sapucaí,"0,14"
3549607,São José do Barreiro,"0,07"
3549904,São José dos Campos,"1,00"
3550001,São Luiz do Paraitinga,"0,14"
3550704,São Sebastião,"0,14"
3552007,Silveiras,"0,21"
3554102,Taubaté,"1,00"
3554805,Tremembé,"0,07"
3555406,Ubatuba,"0,29"
